kode,string
113,"PDRB Provinsi Sulawesi Tengah berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
114,"PDRB Provinsi Sulawesi Tenggara berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
115,"PDRB Provinsi Sulawesi Utara berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
116,"PDRB Provinsi Sumatera Barat berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
117,"PDRB Provinsi Sumatera Selatan berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
118,"PDRB Provinsi Sumatera Utara berasal dari 60 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
119,"PDRB Provinsi Aceh berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
120,"PDRB Provinsi Bali berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
121,"PDRB Provinsi Banten berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
122,"PDRB Provinsi Bengkulu berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
123,"PDRB Provinsi DI Yogyakarta berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
124,"PDRB Provinsi DKI Jakarta berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
125,"PDRB Provinsi Gorontalo berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
126,"PDRB Provinsi Jambi berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
127,"PDRB Provinsi Jawa Barat berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
128,"PDRB Provinsi Jawa Tengah berasal dari 60 komponen, yaitu pertanian tanaman pangan , pertanian tanaman hortikultura semusim, hortikultura tahunan, dan lainnya, perkebunan semusim dan tahunan, peternakan , jasa pertanian dan perburuan  , kehutanan dan penebangan kayu, perikanan , pertambangan minyak, gas dan panas bumi, pertambangan batubara dan lignit, pertambangan bijih logam, pertambangan dan penggalian lainnya, industri batubara dan pengilangan migas, industri makanan dan minuman , industri pengolahan tembakau, industri tekstil dan pakaian jadi, industri kulit, barang dari kulit dan alas kaki , industri kayu, barang dari kayu dan gabus dan barang anyaman dari bambu, rotan dan sejenisnya , industri kertas dan barang dari kertas, percetakan dan reproduksi media rekaman , industri kimia, farmasi dan obat tradisional, industri karet, barang dari karet dan plastik, industri barang galian bukan logam, industri logam dasar , industri barang dari logam, komputer, barang elektronik, optik dan peralatan listrik, industri mesin dan perlengkapan ytdl, industri alat angkutan, industri furnitur, industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan, ketenagalistrikan , pengadaan gas dan produksi es, pengadaan air, pengelolaan sampah, limbah, dan daur ulang, konstruksi, perdagangan mobil, sepeda motor dan reparasinya, perdagangan besar dan eceran, bukan mobil dan sepeda motor, angkutan rel , angkutan darat, angkutan laut , angkutan sungai danau dan penyeberangan, angkutan udara, pergudangan dan jasa penunjang angkutan, pos dan kurir, penyediaan akomodasi , penyediaan makan minum, jasa informasi dan komunikasi, jasa perantara keuangan selain bank sentral, asuransi dan dana pensiun, jasa keuangan lainnya, jasa penunjang keuangan, real estate, jasa perusahaan, administrasi pemerintahan, pertahanan dan jaminan sosial wajib, jasa pendidikan, jasa kesehatan dan kegiatan sosial, jasa lainnya, konsumsi rumah tangga, konsumsi lnprt, konsumsi pemerintah, pembentukan modal tetap bruto, perubahan inventori, kompensasi tenaga kerja, surplus usaha (termasuk pendapatan campuran) bruto, pajak neto subsidi atas produksi "
